CID,C
CID000025102,C20452
CID000025310,C00507
CID000025892,C14852
CID000026259,C02084
CID000026447,C00843
CID000026818,C05790
CID000028167,C11148
CID000028598,C14556
CID000029574,C16394
CID000029575,C18102
CID000029587,C06580
CID000029746,C16286
CID000031242,C13637
CID000031253,C06074
CID000031257,C14179
CID000031373,C06789
CID000031401,C07880
CID000031515,C07646
CID000033032,C00025
CID000033037,C00818
CID000033042,C01759
CID000033676,C07644
CID000034312,C07492
CID000034755,C00019
CID000035717,C01074
CID000035717,C01132
CID000035823,C18118
CID000036143,C12323
CID000036187,C11057
CID000036188,C18116
CID000036231,C18115
CID000036294,C00397
CID000037182,C16395
CID000037455,C14850
CID000037456,C14849
CID000037786,C14851
CID000038019,C18120
CID000038166,C04494
CID000038199,C18111
CID000038251,C18100
CID000038439,C18099
CID000039929,C18104
CID000040479,C18122
CID000041211,C01367
CID000041322,C14853
CID000041634,C03492
CID000041774,C06802
CID000042128,C18106
CID000042540,C18101
CID000044257,C00272
CID000047289,C16453
CID000047650,C18119
CID000050591,C05658
CID000050891,C18121
CID000051043,C18114
CID000051130,C18107
CID000051683,C10173
CID000053036,C18117
CID000057449,C00739
CID000060837,C11294
CID000060837,C16641
CID000060953,C12650
CID000060961,C00212
CID000061020,C07330
CID000061020,C15604
CID000061503,C00256
CID000062223,C00243
CID000062348,C06317
CID000062453,C05627
CID000063090,C14573
CID000064689,C00221
CID000064959,C01762
CID000064968,C00459
CID000064969,C01152
CID000065058,C05512
CID000065059,C00362
CID000065063,C00365
CID000065065,C01042
CID000065070,C00460
CID000065074,C04874
CID000065076,C18043
CID000065091,C00458
CID000065094,C15519
CID000065103,C00286
CID000065110,C04677
CID000065127,C00275
CID000065252,C01943
CID000065253,C00835
CID000065359,C00127
CID000065369,C02985
CID000065517,C18045
CID000065523,C16565
CID000065533,C00103
CID000065536,C00916
CID000065542,C05296
CID000065554,C05469
CID000065728,C01189
CID000066370,C00267
CID000066414,C05302
CID000066416,C08357
CID000066535,C05822
CID000066762,C20267
CID000066827,C16200
CID000067678,C00491
CID000068144,C05598
CID000068148,C16930
CID000068152,C01013
CID000068161,C06181
CID000068271,C05769
CID000068313,C06199
CID000068340,C01959
CID000068374,C16353
CID000068490,C07189
CID000068499,C05380
CID000068570,C02537
CID000068759,C05844
CID000068841,C01005
CID000069212,C18316
CID000069217,C02565
CID000069371,C03056
CID000069602,C05135
CID000069698,C05842
CID000069726,C16359
CID000070639,C16357
CID000070703,C15987
CID000070758,C18317
CID000070914,C00624
CID000070949,C05585
CID000071077,C00740
CID000071082,C00515
CID000071082,C11320
CID000071120,C12270
CID000071567,C02265
CID000071602,C07585
CID000071724,C06564
CID000072301,C02890
CID000072309,C01795
CID000072378,C08532
CID000072392,C01441
CID000072394,C17707
CID000072395,C07656
CID000072396,C00908
CID000072396,C01918
CID000072396,C11334
CID000072423,C02469
CID000072886,C00506
CID000072924,C01020
CID000073145,C08616
CID000073170,C08615
CID000073323,C00655
CID000073491,C06454
CID000073491,C13964
CID000073563,C03752
CID000074128,C02909
CID000074688,C05634
CID000074839,C03519
CID000075049,C00969
CID000075704,C16322
CID000075810,C05828
CID000076230,C05830
CID000076406,C01073
CID000076543,C16570
CID000079014,C00577
CID000079038,C00783
CID000079129,C11520
CID000079437,C16361
CID000080220,C16358
CID000080283,C02356
CID000080801,C13621
CID000082400,C01231
CID000083833,C20386
CID000083852,C07495
CID000083863,C20387
CID000083887,C00402
CID000085782,C05580
CID000086492,C20384
CID000086962,C16588
CID000087642,C00010
CID000087833,C16569
CID000087916,C00446
CID000088052,C01044
CID000088299,C16366
CID000089594,C00745
CID000089954,C06451
CID000091443,C00101
CID000091477,C00599
CID000091486,C00836
CID000091493,C00345
CID000091528,C05576
CID000091531,C06196
CID000091552,C00155
CID000091580,C18872
CID000091611,C16356
CID000091619,C04650
CID000092094,C14151
CID000092097,C08637
CID000092110,C01902
CID000092133,C00091
CID000092135,C01089
CID000092136,C00956
CID000092150,C05945
CID000092153,C00332
CID000092155,C06310
CID000092180,C04083
CID000092258,C04148
CID000092283,C02670
CID000092729,C02483
CID000092745,C05479
CID000092746,C05437
CID000092753,C00100
CID000092753,C02843
CID000092786,C13712
CID000092805,C17649
CID000092810,C03681
CID000092824,C00497
CID000092832,C02727
CID000092851,C00793
CID000092886,C03739
CID000093072,C00438
CID000094140,C00412
CID000094141,C05284
CID000094154,C01904
CID000094221,C00964
CID000094715,C00191
CID000095155,C02930
CID000096215,C02835
CID000096356,C07647
CID000097165,C03383
CID000097588,C05680
CID000098792,C00415
CID000099289,C05519
CID000099290,C00680
CID000099303,C16554
CID000099456,C01059
CID000099470,C15610
CID000099478,C00979
CID000099735,C07643
CID000100221,C04713
CID000101184,C05620
CID000101399,C05653
CID000101543,C01368
CID000101615,C07475
CID000101690,C02141
CID000101770,C03845
CID000101771,C13713
CID000101788,C05498
CID000102030,C05139
CID000104756,C19586
CID000104757,C19585
CID000104842,C11173
CID000104856,C19574
CID000104896,C16648
CID000104940,C03686
CID000105021,C00665
CID000105024,C05335
CID000105074,C18044
CID000105131,C14870
CID000107541,C01877
CID000107689,C00186
CID000107722,C03594
CID000107737,C01177
CID000107744,C07645
CID000107758,C01272
CID000107812,C00519
CID000108012,C01682
CID000108081,C19568
CID000108081,C20306
CID000108121,C14839
CID000108192,C11134
CID000108214,C16365
CID000112071,C01262
CID000114683,C05578
CID000114833,C11135
CID000114857,C01860
CID000114861,C16550
CID000114935,C05770
CID000115015,C05824
CID000115084,C19567
CID000115098,C03170
CID000115196,C08814
CID000115254,C01134
CID000115255,C11133
CID000119033,C00844
CID000119055,C02953
CID000119219,C04043
CID000119400,C00898
CID000119405,C04185
CID000119412,C02800
CID000119521,C14857
CID000121396,C05829
CID000121885,C04895
CID000121893,C01079
CID000121920,C04520
CID000121935,C05500
CID000121947,C03175
CID000121948,C13550
CID000121966,C03319
CID000121969,C04477
CID000121991,C01185
CID000121997,C16630
CID000122121,C12144
CID000122250,C00663
CID000122283,C00136
CID000122336,C00689
CID000122340,C17644
CID000122347,C00234
CID000122356,C02714
CID000122357,C00279
CID000123658,C01182
CID000123727,C00570
CID000123743,C05455
CID000123762,C05554
CID000123865,C17703
CID000123895,C05933
CID000123938,C00669
CID000123991,C02218
CID000123996,C00876
CID000124143,C16557
CID000124886,C00051
CID000124886,C02471
CID000126041,C06231
CID000127115,C12107
CID000127370,C03415
CID000127601,C17662
CID000128419,C04062
CID000128869,C00880
CID000128888,C03955
CID000128973,C03684
CID000129274,C16601
CID000129297,C03741
CID000130805,C04376
CID000131204,C05944
CID000133246,C00268
CID000134459,C16651
CID000134466,C16649
CID000134490,C03283
CID000134970,C16658
CID000135191,C00181
CID000135243,C16650
CID000145068,C00533
CID000145729,C01346
CID000145742,C00148
CID000145815,C00819
CID000146302,C01345
CID000146903,C16589
CID000147004,C05689
CID000147311,C17756
CID000148196,C06198
CID000150833,C01010
CID000150841,C05130
CID000150855,C00705
CID000150856,C16634
CID000150891,C05485
CID000151066,C05834
CID000151104,C01068
CID000151187,C01102
CID000151228,C00971
CID000151244,C16631
CID000151276,C05581
CID000151426,C06206
CID000151438,C13482
CID000151725,C05577
CID000151926,C06459
CID000152306,C01096
CID000152441,C03082
CID000152657,C01929
CID000154417,C02046
CID000155957,C14786
CID000156652,C19602
CID000158980,C02989
CID000159278,C06046
CID000159296,C00054
CID000159911,C06511
CID000160139,C06565
CID000160226,C00593
CID000160433,C05775
CID000160487,C06161
CID000160499,C05481
CID000160500,C17591
CID000160520,C05454
CID000160531,C20252
CID000160556,C00449
CID000160603,C04076
