ENSP,ID
ENSP00000301466,2.3.1.26
ENSP00000301522,1.11.1.24
ENSP00000301634,2.7.1.21
ENSP00000301645,1.14.14.23
ENSP00000301645,1.14.14.26
ENSP00000301729,5.3.3.8
ENSP00000301776,3.4.19.5
ENSP00000301776,3.5.1.1
ENSP00000301790,3.1.1.4
ENSP00000301790,3.1.1.32
ENSP00000301825,3.6.1.5
ENSP00000301956,6.2.1.2
ENSP00000301956,6.2.1.25
ENSP00000302177,2.3.1.23
ENSP00000302177,2.3.1.51
ENSP00000302177,2.3.1.n7
ENSP00000302227,2.6.1.7
ENSP00000302227,2.6.1.64
ENSP00000302227,4.4.1.13
ENSP00000302393,1.1.1.27
ENSP00000302441,3.1.3.29
ENSP00000302620,2.6.1.44
ENSP00000302620,2.6.1.51
ENSP00000302629,2.4.1.175
ENSP00000302629,2.4.1.226
ENSP00000302728,3.2.1.31
ENSP00000303077,2.6.1.1
ENSP00000303147,2.5.1.6
ENSP00000303174,2.4.1.17
ENSP00000303211,3.1.1.7
ENSP00000303246,3.1.2.1
ENSP00000303356,1.1.1.10
ENSP00000303423,2.5.1.58
ENSP00000303423,2.5.1.59
ENSP00000303575,3.6.1.13
ENSP00000304736,2.3.1.199
ENSP00000304782,3.1.1.1
ENSP00000304802,2.7.4.9
ENSP00000304811,2.4.1.17
ENSP00000304845,2.4.1.17
ENSP00000305221,2.4.1.17
ENSP00000305595,2.4.1.149
ENSP00000305603,2.4.1.65
ENSP00000305603,2.4.1.152
ENSP00000305692,3.2.1.20
ENSP00000305725,2.8.2.5
ENSP00000305995,2.7.2.3
ENSP00000306397,7.1.1.8
ENSP00000306459,2.4.1.274
ENSP00000306606,1.1.1.105
ENSP00000306817,2.7.1.15
ENSP00000306920,3.2.1.23
ENSP00000307126,1.14.18.5
ENSP00000307126,1.14.19.17
ENSP00000307188,4.3.2.1
ENSP00000307241,1.2.4.1
ENSP00000307252,1.5.3.16
ENSP00000307423,2.4.1.143
ENSP00000307607,1.1.1.105
ENSP00000307674,3.6.1.6
ENSP00000307697,1.17.99.3
ENSP00000307875,2.4.1.135
ENSP00000307900,2.3.1.225
ENSP00000307900,6.3.1.2
ENSP00000307971,2.4.1.222
ENSP00000308032,4.2.1.152
ENSP00000308032,5.3.99.5
ENSP00000308107,3.2.1.166
ENSP00000308258,2.7.8.29
ENSP00000308610,1.1.5.3
ENSP00000309092,2.7.7.13
ENSP00000309259,2.3.1.37
ENSP00000309270,2.8.2.21
ENSP00000309463,2.3.1.181
ENSP00000309477,4.2.1.3
ENSP00000310120,2.4.1.256
ENSP00000310447,3.5.1.2
ENSP00000310551,2.3.1.51
ENSP00000310661,3.1.4.53
ENSP00000310721,1.14.14.26
ENSP00000310721,1.14.14.29
ENSP00000311095,1.14.14.1
ENSP00000311095,1.14.14.80
ENSP00000311224,3.1.2.2
ENSP00000311405,4.6.1.1
ENSP00000311453,3.1.4.53
ENSP00000311469,2.5.1.18
ENSP00000311876,3.5.99.6
ENSP00000311888,2.4.1.101
ENSP00000312126,4.6.1.1
ENSP00000312189,2.3.1.21
ENSP00000312250,2.7.1.147
ENSP00000312286,3.1.1.4
ENSP00000312304,2.1.1.67
ENSP00000312326,1.4.3.21
ENSP00000312606,1.1.1.2
ENSP00000312606,1.1.1.19
ENSP00000312606,1.1.1.20
ENSP00000312606,1.1.1.54
ENSP00000312606,1.1.1.372
ENSP00000313377,2.7.1.33
ENSP00000313432,1.1.1.79
ENSP00000313432,1.1.1.81
ENSP00000313490,6.3.5.3
ENSP00000313681,2.7.1.91
ENSP00000313691,1.16.3.1
ENSP00000314036,2.3.1.51
ENSP00000314099,4.2.1.1
ENSP00000314508,3.2.1.45
ENSP00000314508,3.2.1.46
ENSP00000314649,1.2.1.24
ENSP00000315644,2.1.1.45
ENSP00000315774,7.1.1.2
ENSP00000315931,3.13.2.1
ENSP00000316173,2.4.1.206
ENSP00000316329,1.14.19.1
ENSP00000316339,1.1.3.15
ENSP00000316476,1.14.19.17
ENSP00000316924,6.2.1.1
ENSP00000316924,6.2.1.17
ENSP00000317027,2.4.1.102
ENSP00000317300,2.3.1.23
ENSP00000317300,2.3.1.67
ENSP00000317300,2.3.1.121
ENSP00000317300,2.3.1.n6
ENSP00000317300,2.3.1.n7
ENSP00000317379,3.5.1.2
ENSP00000317404,2.8.2.5
ENSP00000317842,3.1.1.1
ENSP00000317842,3.1.1.56
ENSP00000317842,3.1.1.84
ENSP00000317904,2.4.1.11
ENSP00000318066,3.6.1.29
ENSP00000318147,3.2.1.113
ENSP00000318351,1.2.4.4
ENSP00000318631,1.1.1.53
ENSP00000318631,1.1.1.62
ENSP00000318631,1.1.1.105
ENSP00000318631,1.1.1.209
ENSP00000318631,1.1.1.239
ENSP00000318852,3.1.3.7
ENSP00000318867,1.14.14.139
ENSP00000318868,2.1.2.1
ENSP00000318912,4.2.1.1
ENSP00000319170,1.5.1.3
ENSP00000319343,2.3.1.21
ENSP00000319501,1.1.1.22
ENSP00000319636,2.4.1.149
ENSP00000319788,1.6.5.2
ENSP00000319814,4.1.1.32
ENSP00000319851,1.1.99.1
ENSP00000320171,2.7.1.40
ENSP00000320171,2.7.10.2
ENSP00000320171,2.7.11.1
ENSP00000320337,3.1.1.4
ENSP00000320337,3.1.1.32
ENSP00000320401,2.4.1.17
ENSP00000320965,2.4.1.38
ENSP00000320965,2.4.1.90
ENSP00000320965,2.4.1.275
ENSP00000321038,3.3.2.2
ENSP00000321070,1.1.1.38
ENSP00000321259,2.2.1.2
ENSP00000321584,1.1.1.205
ENSP00000321810,2.5.1.75
ENSP00000321821,1.14.14.1
ENSP00000321874,2.4.1.146
ENSP00000321874,2.4.1.149
ENSP00000322276,3.5.1.92
ENSP00000322300,2.4.1.109
ENSP00000322450,7.1.1.2
ENSP00000322524,3.6.1.12
ENSP00000322706,2.3.3.10
ENSP00000322991,2.6.1.42
ENSP00000323036,3.1.3.2
ENSP00000323036,3.1.3.5
ENSP00000323036,3.1.3.48
ENSP00000323071,3.1.2.2
ENSP00000323071,3.1.2.3
ENSP00000323479,2.4.1.79
ENSP00000324105,4.2.1.11
ENSP00000324343,3.5.1.6
